Id,File Name,X axis (180 angle),Y axis (90 angle),Diagonal (45 angle),Diagonal (135 angle),All (all),None
1,1.png,1,1,0,0,0,0
2,2.png,0,0,0,0,0,1
3,3.png,0,0,0,0,0,1
4,4.png,0,0,0,0,0,1
5,5.png,0,0,1,1,0,0
6,6.png,0,0,0,0,0,1
7,7.png,0,0,0,0,0,1
8,8.png,0,0,0,0,0,1
9,9.png,1,1,0,0,0,0
10,10.png,0,0,1,1,0,0
11,11.png,0,0,0,0,0,1
12,12.png,0,0,0,0,0,1
13,13.png,0,0,0,0,0,1
14,14.png,1,1,1,1,1,0
15,15.png,0,1,0,0,0,0
16,16.png,0,0,0,0,0,1
17,17.png,1,1,1,1,1,0
18,18.png,0,0,1,1,0,0
19,19.png,0,0,1,1,0,0
20,20.png,0,0,1,1,0,0
21,21.png,0,0,0,0,0,1
22,22.png,0,1,0,0,0,0
23,23.png,0,1,0,0,0,0
24,24.png,1,0,0,0,0,0
25,25.png,0,0,1,1,0,0
26,26.png,0,0,1,1,0,0
27,27.png,0,0,1,1,0,0
28,28.png,1,1,1,1,1,0
29,29.png,0,0,0,0,0,1
30,30.png,0,0,1,1,0,0
31,31.png,0,0,0,0,0,1
32,32.png,0,0,1,1,0,0
33,33.png,1,1,0,0,0,0
34,34.png,0,0,0,0,0,1
35,35.png,0,0,1,1,0,0
36,36.png,0,0,1,1,0,0
37,37.png,1,1,1,1,1,0
38,38.png,0,0,0,0,0,1
39,39.png,1,1,1,1,1,0
40,40.png,1,1,1,1,1,0
41,41.png,1,1,1,1,1,0
42,42.png,0,0,0,0,0,1
43,43.png,0,0,1,1,0,0
44,44.png,0,1,0,0,0,0
45,45.png,0,0,1,1,0,0
46,46.png,1,1,0,0,0,0
47,47.png,0,0,0,0,0,1
48,48.png,0,1,0,0,0,0
49,49.png,0,0,1,1,0,0
50,50.png,0,0,1,1,0,0
51,51.png,0,0,0,0,0,1
52,52.png,0,0,1,1,0,0
53,53.png,1,0,0,0,0,0
54,54.png,0,0,1,1,0,0
55,55.png,0,0,1,1,0,0
56,56.png,0,0,1,1,0,0
57,57.png,0,0,0,0,0,1
58,58.png,0,0,1,1,0,0
59,59.png,0,1,0,0,0,0
